actor_id,first_name,last_name,last_update
132,ADAM,HOPPER,2020-12-23 07:12:30
133,RICHARD,PENN,2020-12-23 07:12:30
134,GENE,HOPKINS,2020-12-23 07:12:30
135,RITA,REYNOLDS,2020-12-23 07:12:30
136,ED,MANSFIELD,2020-12-23 07:12:30
137,MORGAN,WILLIAMS,2020-12-23 07:12:30
138,LUCILLE,DEE,2020-12-23 07:12:30
139,EWAN,GOODING,2020-12-23 07:12:30
140,WHOOPI,HURT,2020-12-23 07:12:30
141,CATE,HARRIS,2020-12-23 07:12:30
142,JADA,RYDER,2020-12-23 07:12:30
143,RIVER,DEAN,2020-12-23 07:12:30
144,ANGELA,WITHERSPOON,2020-12-23 07:12:30
145,KIM,ALLEN,2020-12-23 07:12:30
146,ALBERT,JOHANSSON,2020-12-23 07:12:30
147,FAY,WINSLET,2020-12-23 07:12:30
148,EMILY,DEE,2020-12-23 07:12:30
149,RUSSELL,TEMPLE,2020-12-23 07:12:30
150,JAYNE,NOLTE,2020-12-23 07:12:30
151,GEOFFREY,HESTON,2020-12-23 07:12:30
152,BEN,HARRIS,2020-12-23 07:12:30
153,MINNIE,KILMER,2020-12-23 07:12:30
154,MERYL,GIBSON,2020-12-23 07:12:30
155,IAN,TANDY,2020-12-23 07:12:30
156,FAY,WOOD,2020-12-23 07:12:31
157,GRETA,MALDEN,2020-12-23 07:12:31
158,VIVIEN,BASINGER,2020-12-23 07:12:31
159,LAURA,BRODY,2020-12-23 07:12:31
160,CHRIS,DEPP,2020-12-23 07:12:31
161,HARVEY,HOPE,2020-12-23 07:12:31
162,OPRAH,KILMER,2020-12-23 07:12:31
163,CHRISTOPHER,WEST,2020-12-23 07:12:31
164,HUMPHREY,WILLIS,2020-12-23 07:12:31
165,AL,GARLAND,2020-12-23 07:12:31
166,NICK,DEGENERES,2020-12-23 07:12:31
167,LAURENCE,BULLOCK,2020-12-23 07:12:31
168,WILL,WILSON,2020-12-23 07:12:31
169,KENNETH,HOFFMAN,2020-12-23 07:12:31
170,MENA,HOPPER,2020-12-23 07:12:31
171,OLYMPIA,PFEIFFER,2020-12-23 07:12:31
172,GROUCHO,WILLIAMS,2020-12-23 07:12:31
173,ALAN,DREYFUSS,2020-12-23 07:12:31
174,MICHAEL,BENING,2020-12-23 07:12:31
175,WILLIAM,HACKMAN,2020-12-23 07:12:31
176,JON,CHASE,2020-12-23 07:12:31
177,GENE,MCKELLEN,2020-12-23 07:12:31
178,LISA,MONROE,2020-12-23 07:12:31
179,ED,GUINESS,2020-12-23 07:12:31
180,JEFF,SILVERSTONE,2020-12-23 07:12:31
181,MATTHEW,CARREY,2020-12-23 07:12:31
182,DEBBIE,AKROYD,2020-12-23 07:12:31
183,RUSSELL,CLOSE,2020-12-23 07:12:31
184,HUMPHREY,GARLAND,2020-12-23 07:12:31
185,MICHAEL,BOLGER,2020-12-23 07:12:31
186,JULIA,ZELLWEGER,2020-12-23 07:12:31
187,RENEE,BALL,2020-12-23 07:12:31
188,ROCK,DUKAKIS,2020-12-23 07:12:31
189,CUBA,BIRCH,2020-12-23 07:12:31
190,AUDREY,BAILEY,2020-12-23 07:12:31
191,GREGORY,GOODING,2020-12-23 07:12:31
192,JOHN,SUVARI,2020-12-23 07:12:31
193,BURT,TEMPLE,2020-12-23 07:12:31
194,MERYL,ALLEN,2020-12-23 07:12:31
195,JAYNE,SILVERSTONE,2020-12-23 07:12:31
196,BELA,WALKEN,2020-12-23 07:12:31
197,REESE,WEST,2020-12-23 07:12:31
198,MARY,KEITEL,2020-12-23 07:12:31
199,JULIA,FAWCETT,2020-12-23 07:12:31
200,THORA,TEMPLE,2020-12-23 07:12:31
